=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.04.09 15:50:23 =~=~=~=~=~=~=~=~=~=~=~=
Choisissez la methode :
1 - Chronoamperometrie
2 - Voltammetrie cyclique
Methode selectionnee : Voltammetrie cyclique
Entrez E1 (en Volts) :
Entrez E2 (en Volts) :
Entrez la vitesse de balayage (en V/s) :
Entrez le nombre de cycles :
Parametres enregistres.
E1 = -1.00 V, E2 = 1.00 V, Vitesse = 0.10 V/s
Cycles = 3.00
Entrez le facteur d'affichage (valeur par défaut = 1, valeur utilisée pour les mesures = 4) :
Facteur d'affichage choisi : 4
Entrez 'ok' pour commencer l'expérience.
Debut
Temps (s);tension (mV);courant (uA)
65.6894;-433.04;34.25
65.7676;-425.22;31.13
65.8459;-417.39;31.52
65.9241;-409.57;31.91
66.0023;-401.75;32.69
66.0805;-393.93;34.64
66.1587;-386.11;36.98
66.2369;-378.29;36.98
66.3152;-370.47;34.25
66.3934;-362.65;35.42
66.4716;-354.83;36.98
66.5498;-347.01;36.59
66.6280;-339.19;37.37
66.7062;-331.37;42.05
66.7845;-323.55;43.22
66.8627;-315.73;40.10
66.9409;-307.91;39.32
67.0191;-300.09;44.00
67.0973;-292.27;45.56
67.1755;-284.45;42.05
67.2538;-276.63;43.22
67.3320;-268.81;44.00
67.4102;-260.99;46.73
67.4884;-253.17;49.07
67.5666;-245.35;46.34
67.6448;-237.53;47.51
67.7231;-229.71;48.29
67.8013;-221.89;49.46
67.8795;-214.07;54.92
67.9577;-206.25;51.80
68.0359;-198.43;54.53
68.1141;-190.61;53.75
68.1924;-182.79;60.38
68.2706;-174.97;61.55
68.3488;-167.15;60.38
68.4270;-159.33;63.11
68.5052;-151.51;66.62
68.5834;-143.69;69.74
68.6617;-135.87;68.57
68.7399;-128.05;70.52
68.8181;-120.23;71.69
68.8963;-112.41;78.32
68.9745;-104.59;81.83
69.0527;-96.77;79.88
69.1310;-88.95;83.00
69.2092;-81.13;90.02
69.2874;-73.31;91.58
69.3656;-65.49;94.70
69.4438;-57.67;93.92
69.5220;-49.85;97.43
69.6003;-42.03;98.99
69.6785;-34.21;104.06
69.7567;-26.39;108.74
69.8349;-18.57;107.96
69.9131;-10.75;109.91
69.9913;-2.93;108.35
70.0696;4.89;114.98
70.1478;12.71;114.98
70.2260;20.53;111.08
70.3042;28.35;113.03
70.3824;36.17;113.42
70.4606;43.99;114.20
70.5389;51.81;111.86
70.6171;59.63;112.64
70.6953;67.45;110.30
70.7735;75.27;108.35
70.8517;83.09;104.45
70.9299;90.91;101.72
71.0082;98.73;100.94
71.0864;106.55;98.99
71.1646;114.37;100.94
71.2428;122.19;95.48
71.3210;130.01;93.14
71.3992;137.83;95.87
71.4775;145.65;94.70
71.5557;153.48;90.02
71.6339;161.30;88.85
71.7121;169.12;86.51
71.7903;176.94;89.24
71.8685;184.76;88.07
71.9468;192.58;83.39
72.0250;200.40;85.34
72.1032;208.22;81.44
72.1814;216.04;82.61
72.2596;223.86;82.61
72.3378;231.68;81.44
72.4160;239.50;79.88
72.4943;247.32;79.10
72.5725;255.14;78.32
72.6507;262.96;77.54
72.7289;270.78;76.76
72.8071;278.60;72.08
72.8853;286.42;71.69
72.9636;294.24;71.30
73.0418;302.06;74.03
73.1200;309.88;73.64
73.1982;317.70;73.25
73.2764;325.52;72.86
73.3546;333.34;68.18
73.4329;341.16;68.18
73.5111;348.98;67.79
73.5893;356.80;67.79
73.6675;364.62;67.40
73.7457;372.44;67.79
73.8239;380.26;70.52
73.9022;388.08;67.01
73.9804;395.90;66.62
74.0586;403.72;70.13
74.1368;411.54;70.13
74.2150;419.36;67.01
74.2932;427.18;69.74
74.3715;435.00;66.23
74.4497;442.82;70.91
74.5279;450.64;68.96
74.6061;458.46;70.13
74.6843;466.28;68.18
74.7625;474.10;66.23
74.8408;481.92;65.84
74.9190;489.74;66.23
74.9972;497.56;68.96
75.0754;505.38;67.01
75.1536;513.20;70.13
75.2318;521.02;70.13
75.3101;528.84;69.74
75.3883;536.66;67.79
75.4665;544.48;67.01
75.5447;552.30;67.40
75.6229;560.12;69.74
75.7011;567.94;70.52
75.7794;575.76;71.30
75.8576;583.58;70.52
75.9358;591.40;71.69
76.0140;599.22;72.08
76.0922;607.04;68.57
76.1704;614.86;72.08
76.2487;622.68;72.08
76.3269;630.50;72.08
76.4051;638.32;68.18
76.4833;646.14;72.08
76.5615;653.96;72.86
76.6397;661.78;72.86
76.7180;669.60;73.64
76.7962;677.42;73.25
76.8744;685.24;72.86
76.9526;693.06;70.13
77.0308;700.88;73.25
77.1090;708.70;73.64
77.1873;716.52;73.64
77.2655;724.35;73.64
77.3437;732.17;73.64
77.4219;739.99;75.20
77.5001;747.81;70.91
77.5783;755.63;74.03
77.6566;763.45;74.81
77.7348;771.27;74.42
77.8130;779.09;74.42
77.8912;786.91;74.42
77.9694;794.73;74.42
78.0476;802.55;75.20
78.1259;810.37;74.81
78.2041;818.19;75.20
78.2823;826.01;75.20
78.3605;833.83;75.20
78.4387;841.65;74.81
78.5169;849.47;75.98
78.5952;857.29;75.20
78.6734;865.11;76.37
78.7516;872.93;75.98
78.8298;880.75;75.98
78.9080;888.57;75.98
78.9862;896.39;76.76
79.0645;904.21;76.37
79.1427;912.03;76.76
79.2209;919.85;77.54
79.2991;927.67;78.32
79.3773;935.49;77.93
79.4555;943.31;78.32
79.5338;951.13;79.10
79.6120;958.95;79.10
79.6902;966.77;79.49
79.7684;974.59;79.88
79.8466;982.41;79.88
79.9248;990.23;80.66
80.0031;998.05;81.05
80.0813;1005.87;81.44
80.1595;1000.00;79.88
80.2377;992.18;76.76
80.3159;984.36;74.81
80.3941;976.54;71.30
80.4724;968.72;70.13
80.5506;960.90;68.18
80.6288;953.08;67.01
80.7070;945.26;65.45
80.7852;937.44;64.67
80.8634;929.62;63.50
80.9417;921.80;62.33
81.0199;913.98;61.16
81.0981;906.16;58.43
81.1763;898.34;59.21
81.2545;890.52;58.04
81.3327;882.70;57.26
81.4110;874.88;56.87
81.4892;867.06;55.31
81.5674;859.24;51.41
81.6456;851.42;53.75
81.7238;843.60;52.97
81.8020;835.78;52.19
81.8803;827.96;51.41
81.9585;820.14;51.02
82.0367;812.32;50.63
82.1149;804.50;46.34
82.1931;796.68;44.78
82.2713;788.86;47.90
82.3496;781.04;47.90
82.4278;773.22;47.12
82.5060;765.40;45.95
82.5842;757.58;45.95
82.6624;749.76;45.95
82.7406;741.94;45.56
82.8189;734.12;41.27
82.8971;726.30;44.00
82.9753;718.48;44.00
83.0535;710.66;43.22
83.1317;702.84;42.83
83.2099;695.02;42.44
83.2882;687.20;41.66
83.3664;679.38;41.27
83.4446;671.56;40.88
83.5228;663.74;40.49
83.6010;655.92;40.49
83.6792;648.10;39.32
83.7574;640.28;38.93
83.8357;632.46;35.03
83.9139;624.64;35.03
83.9921;616.82;34.64
84.0703;609.00;36.20
84.1485;601.18;36.59
84.2267;593.36;37.76
84.3050;585.54;36.20
84.3832;577.72;36.20
84.4614;569.90;35.03
84.5396;562.08;35.81
84.6178;554.26;35.42
84.6960;546.44;35.03
84.7743;538.62;34.64
84.8525;530.80;34.25
84.9307;522.98;30.35
85.0089;515.16;34.64
85.0871;507.34;33.47
85.1653;499.52;33.47
85.2436;491.70;27.62
85.3218;483.88;32.69
85.4000;476.06;32.30
85.4782;468.24;28.79
85.5564;460.42;31.52
85.6346;452.60;31.52
85.7129;444.78;32.69
85.7911;436.96;31.52
85.8693;429.13;30.35
85.9475;421.31;26.84
86.0257;413.49;30.35
86.1039;405.67;27.23
86.1822;397.85;29.96
86.2604;390.03;29.96
86.3386;382.21;29.96
86.4168;374.39;30.35
86.4950;366.57;29.96
86.5732;358.75;29.18
86.6515;350.93;25.28
86.7297;343.11;29.18
86.8079;335.29;29.18
86.8861;327.47;28.40
86.9643;319.65;28.40
87.0425;311.83;28.79
87.1208;304.01;28.01
87.1990;296.19;27.62
87.2772;288.37;27.62
87.3554;280.55;27.62
87.4336;272.73;23.72
87.5118;264.91;23.72
87.5901;257.09;24.11
87.6683;249.27;22.94
87.7465;241.45;27.62
87.8247;233.63;26.45
87.9029;225.81;25.67
87.9811;217.99;23.72
88.0594;210.17;24.89
88.1376;202.35;22.94
88.2158;194.53;23.33
88.2940;186.71;22.94
88.3722;178.89;26.84
88.4504;171.07;23.72
88.5287;163.25;23.33
88.6069;155.43;21.77
88.6851;147.61;26.06
88.7633;139.79;22.16
88.8415;131.97;22.55
88.9197;124.15;24.89
88.9980;116.33;22.55
89.0762;108.51;21.38
89.1544;100.69;21.38
89.2326;92.87;24.50
89.3108;85.05;21.38
89.3890;77.23;22.55
89.4673;69.41;24.89
89.5455;61.59;20.21
89.6237;53.77;22.94
89.7019;45.95;18.65
89.7801;38.13;19.82
89.8583;30.31;23.33
89.9366;22.49;19.82
90.0148;14.67;23.72
90.0930;6.85;23.33
90.1712;-0.97;19.04
90.2494;-8.79;18.26
90.3276;-16.61;20.21
90.4059;-24.43;22.55
90.4841;-32.25;22.55
90.5623;-40.07;21.38
90.6405;-47.89;22.16
90.7187;-55.71;22.16
90.7969;-63.53;21.38
90.8752;-71.35;18.65
90.9534;-79.17;17.48
91.0316;-86.99;17.48
91.1098;-94.81;18.26
91.1880;-102.63;21.38
91.2662;-110.45;17.48
91.3445;-118.27;16.70
91.4227;-126.09;17.48
91.5009;-133.91;17.09
91.5791;-141.74;20.21
91.6573;-149.56;20.21
91.7355;-157.38;17.09
91.8138;-165.20;16.70
91.8920;-173.02;16.31
91.9702;-180.84;17.48
92.0484;-188.66;16.31
92.1266;-196.48;19.43
92.2048;-204.30;16.31
92.2831;-212.12;19.82
92.3613;-219.94;18.65
92.4395;-227.76;15.53
92.5177;-235.58;15.92
92.5959;-243.40;15.92
92.6741;-251.22;18.65
92.7524;-259.04;19.04
92.8306;-266.86;18.26
92.9088;-274.68;15.14
92.9870;-282.50;15.14
93.0652;-290.32;13.97
93.1434;-298.14;13.58
93.2217;-305.96;13.58
93.2999;-313.78;15.53
93.3781;-321.60;14.36
93.4563;-329.42;15.53
93.5345;-337.24;12.02
93.6127;-345.06;10.46
93.6910;-352.88;13.58
93.7692;-360.70;8.12
93.8474;-368.52;7.73
93.9256;-376.34;6.56
94.0038;-384.16;5.39
94.0820;-391.98;3.44
94.1603;-399.80;-0.07
94.2385;-407.62;-1.24
94.3167;-415.44;0.71
94.3949;-423.26;-7.87
94.4731;-431.08;-8.26
94.5513;-438.90;-10.99
94.6296;-446.72;-18.79
94.7078;-454.54;-21.52
94.7860;-462.36;-29.32
94.8642;-470.18;-30.88
94.9424;-478.00;-39.46
95.0206;-485.82;-42.97
95.0988;-493.64;-53.89
95.1771;-501.46;-59.35
95.2553;-509.28;-69.10
95.3335;-517.10;-72.61
95.4117;-524.92;-86.65
95.4899;-532.74;-86.26
95.5681;-540.56;-103.81
95.6464;-548.38;-108.49
95.7246;-556.20;-118.63
95.8028;-564.02;-126.82
95.8810;-571.84;-134.23
95.9592;-579.66;-144.76
96.0374;-587.48;-152.95
96.1157;-595.30;-163.87
96.1939;-603.12;-172.45
96.2721;-610.94;-178.30
96.3503;-618.76;-182.20
96.4285;-626.58;-193.51
96.5067;-634.40;-195.85
96.5850;-642.22;-194.29
96.6632;-650.04;-195.85
96.7414;-657.86;-196.63
96.8196;-665.68;-198.58
96.8978;-673.50;-193.51
96.9760;-681.32;-194.29
97.0543;-689.14;-192.73
97.1325;-696.96;-189.22
97.2107;-704.79;-184.15
97.2889;-712.61;-182.98
97.3671;-720.43;-180.64
97.4453;-728.25;-185.32
97.5236;-736.07;-185.32
97.6018;-743.89;-185.32
97.6800;-751.71;-182.59
97.7582;-759.53;-184.15
97.8364;-767.35;-183.37
97.9146;-775.17;-183.76
97.9929;-782.99;-177.91
98.0711;-790.81;-175.57
98.1493;-798.63;-179.47
98.2275;-806.45;-174.01
98.3057;-814.27;-175.57
98.3839;-822.09;-178.30
98.4622;-829.91;-170.89
98.5404;-837.73;-170.11
98.6186;-845.55;-167.77
98.6968;-853.37;-164.65
98.7750;-861.19;-161.53
98.8532;-869.01;-157.24
98.9315;-876.83;-158.02
99.0097;-884.65;-155.29
99.0879;-892.47;-152.56
99.1661;-900.29;-151.78
99.2443;-908.11;-149.83
99.3225;-915.93;-147.49
99.4008;-923.75;-144.37
99.4790;-931.57;-144.76
99.5572;-939.39;-142.42
99.6354;-947.21;-141.25
99.7136;-955.03;-139.30
99.7918;-962.85;-136.57
99.8701;-970.67;-135.40
99.9483;-978.49;-134.62
100.0265;-986.31;-133.06
100.1047;-994.13;-130.33
100.1829;-988.26;-129.94
100.2611;-980.44;-124.87
100.3394;-972.62;-120.58
100.4176;-964.80;-117.46
100.4958;-956.98;-116.68
100.5740;-949.16;-113.17
100.6522;-941.34;-111.61
100.7304;-933.52;-107.32
100.8087;-925.70;-108.10
100.8869;-917.88;-105.37
100.9651;-910.06;-103.81
101.0433;-902.24;-101.86
101.1215;-894.42;-99.13
101.1997;-886.60;-97.18
101.2780;-878.78;-94.06
101.3562;-870.96;-93.67
101.4344;-863.14;-87.82
101.5126;-855.32;-89.38
101.5908;-847.50;-87.43
101.6690;-839.68;-84.70
101.7473;-831.86;-82.75
101.8255;-824.04;-80.02
101.9037;-816.22;-81.97
101.9819;-808.40;-76.90
102.0601;-800.58;-76.51
102.1383;-792.76;-71.44
102.2166;-784.94;-69.10
102.2948;-777.12;-67.54
102.3730;-769.30;-63.64
102.4512;-761.48;-63.25
102.5294;-753.66;-59.74
102.6076;-745.84;-51.55
102.6859;-738.02;-54.28
102.7641;-730.20;-50.38
102.8423;-722.38;-46.09
102.9205;-714.56;-43.75
102.9987;-706.74;-40.24
103.0769;-698.92;-36.73
103.1552;-691.10;-32.44
103.2334;-683.28;-28.93
103.3116;-675.46;-26.20
103.3898;-667.64;-20.74
103.4680;-659.82;-19.18
103.5462;-652.00;-15.67
103.6245;-644.18;-8.65
103.7027;-636.36;-7.87
103.7809;-628.54;-4.75
103.8591;-620.72;-3.19
103.9373;-612.90;4.61
104.0155;-605.08;4.61
104.0938;-597.26;6.56
104.1720;-589.44;7.34
104.2502;-581.62;11.24
104.3284;-573.80;12.41
104.4066;-565.98;14.36
104.4848;-558.16;15.14
104.5631;-550.34;16.70
104.6413;-542.52;18.65
104.7195;-534.70;21.77
104.7977;-526.88;24.11
104.8759;-519.06;26.06
104.9541;-511.24;23.72
105.0324;-503.42;23.72
105.1106;-495.60;25.67
105.1888;-487.78;25.67
105.2670;-479.96;28.01
105.3452;-472.14;27.62
105.4234;-464.32;28.40
105.5017;-456.50;31.91
105.5799;-448.68;29.18
105.6581;-440.86;30.74
105.7363;-433.04;30.74
105.8145;-425.22;30.74
105.8927;-417.39;31.91
105.9710;-409.57;35.03
106.0492;-401.75;32.30
106.1274;-393.93;36.20
106.2056;-386.11;33.86
106.2838;-378.29;33.47
106.3620;-370.47;37.37
106.4402;-362.65;35.03
106.5185;-354.83;36.59
106.5967;-347.01;36.20
106.6749;-339.19;38.15
106.7531;-331.37;41.66
106.8313;-323.55;38.54
106.9095;-315.73;39.32
106.9878;-307.91;43.22
107.0660;-300.09;44.00
107.1442;-292.27;41.66
107.2224;-284.45;42.05
107.3006;-276.63;42.44
107.3788;-268.81;43.22
107.4571;-260.99;44.00
107.5353;-253.17;45.17
107.6135;-245.35;47.51
107.6917;-237.53;47.51
107.7699;-229.71;47.51
107.8481;-221.89;53.75
107.9264;-214.07;55.70
108.0046;-206.25;52.19
108.0828;-198.43;52.19
108.1610;-190.61;55.31
108.2392;-182.79;56.48
108.3174;-174.97;61.16
108.3957;-167.15;62.33
108.4739;-159.33;61.55
108.5521;-151.51;66.23
108.6303;-143.69;68.18
108.7085;-135.87;66.62
108.7867;-128.05;72.47
108.8650;-120.23;70.91
108.9432;-112.41;78.71
109.0214;-104.59;79.49
109.0996;-96.77;77.93
109.1778;-88.95;85.73
109.2560;-81.13;83.78
109.3343;-73.31;91.19
109.4125;-65.49;89.24
109.4907;-57.67;92.36
109.5689;-49.85;95.87
109.6471;-42.03;98.21
109.7253;-34.21;103.28
109.8036;-26.39;103.28
109.8818;-18.57;102.50
109.9600;-10.75;105.62
110.0382;-2.93;104.84
110.1164;4.89;107.57
110.1946;12.71;113.03
110.2729;20.53;111.08
110.3511;28.35;107.96
110.4293;36.17;107.57
110.5075;43.99;110.69
110.5857;51.81;107.57
110.6639;59.63;109.91
110.7422;67.45;107.96
110.8204;75.27;103.28
110.8986;83.09;106.01
110.9768;90.91;104.45
111.0550;98.73;98.60
111.1332;106.55;98.21
111.2115;114.37;95.48
111.2897;122.19;98.21
111.3679;130.01;96.65
111.4461;137.83;93.53
111.5243;145.65;94.31
111.6025;153.48;88.85
111.6808;161.30;90.80
111.7590;169.12;86.12
111.8372;176.94;87.29
111.9154;184.76;83.39
111.9936;192.58;86.12
112.0718;200.40;81.83
112.1501;208.22;83.39
112.2283;216.04;80.27
112.3065;223.86;81.44
112.3847;231.68;76.76
112.4629;239.50;79.10
112.5411;247.32;75.20
112.6194;255.14;77.54
112.6976;262.96;76.76
112.7758;270.78;76.76
112.8540;278.60;72.86
112.9322;286.42;74.81
113.0104;294.24;70.52
113.0887;302.06;68.57
113.1669;309.88;68.57
113.2451;317.70;72.08
113.3233;325.52;71.30
113.4015;333.34;71.69
113.4797;341.16;68.96
113.5580;348.98;68.18
113.6362;356.80;66.62
113.7144;364.62;70.91
113.7926;372.44;70.52
113.8708;380.26;69.35
113.9490;388.08;69.74
114.0273;395.90;69.74
114.1055;403.72;69.35
114.1837;411.54;69.35
114.2619;419.36;67.01
114.3401;427.18;69.35
114.4183;435.00;68.57
114.4966;442.82;68.96
114.5748;450.64;65.06
114.6530;458.46;69.74
114.7312;466.28;69.35
114.8094;474.10;65.45
114.8876;481.92;68.96
114.9659;489.74;65.45
115.0441;497.56;69.74
115.1223;505.38;69.35
115.2005;513.20;69.35
115.2787;521.02;65.84
115.3569;528.84;69.74
115.4352;536.66;66.62
115.5134;544.48;70.52
115.5916;552.30;69.74
115.6698;560.12;70.52
115.7480;567.94;71.30
115.8262;575.76;70.91
115.9045;583.58;71.30
115.9827;591.40;71.69
116.0609;599.22;71.69
116.1391;607.04;70.52
116.2173;614.86;72.08
116.2955;622.68;71.69
116.3738;630.50;71.69
116.4520;638.32;72.86
116.5302;646.14;72.86
116.6084;653.96;69.35
116.6866;661.78;72.08
116.7648;669.60;73.25
116.8431;677.42;73.25
116.9213;685.24;72.86
116.9995;693.06;73.25
117.0777;700.88;73.64
117.1559;708.70;73.64
117.2341;716.52;73.64
117.3124;724.35;73.64
117.3906;732.17;70.52
117.4688;739.99;73.64
117.5470;747.81;74.03
117.6252;755.63;74.03
117.7034;763.45;74.03
117.7817;771.27;74.03
117.8599;779.09;74.42
117.9381;786.91;71.30
118.0163;794.73;74.42
118.0945;802.55;74.81
118.1727;810.37;74.81
118.2509;818.19;75.20
118.3292;826.01;75.59
118.4074;833.83;75.20
118.4856;841.65;75.59
118.5638;849.47;75.98
118.6420;857.29;75.98
118.7202;865.11;76.37
118.7985;872.93;75.98
118.8767;880.75;76.37
118.9549;888.57;76.76
119.0331;896.39;76.76
119.1113;904.21;77.15
119.1895;912.03;77.54
119.2678;919.85;77.93
119.3460;927.67;77.93
119.4242;935.49;77.93
119.5024;943.31;78.32
119.5806;951.13;78.71
119.6588;958.95;79.49
119.7371;966.77;80.27
119.8153;974.59;79.88
119.8935;982.41;80.27
119.9717;990.23;81.05
120.0499;998.05;81.83
120.1281;1005.87;81.83

Acquisition complétée
